128,2024-07-10T17:50:13.172+0900,26.022,33.022,-83.083
128,2024-07-10T17:50:13.371+0900,26.241,33.238,-82.603
128,2024-07-10T17:50:13.573+0900,25.777,33.701,-83.464
128,2024-07-10T17:50:13.772+0900,25.797,33.029,-81.895
128,2024-07-10T17:50:13.968+0900,26.480,32.784,-82.553
128,2024-07-10T17:50:14.169+0900,26.221,33.908,-83.600
128,2024-07-10T17:50:14.372+0900,26.022,33.022,-82.510
128,2024-07-10T17:50:14.571+0900,26.241,33.238,-83.459
128,2024-07-10T17:50:14.767+0900,26.015,33.246,-82.843
128,2024-07-10T17:50:15.099+0900,26.398,33.009,-82.587
128,2024-07-10T17:50:15.301+0900,26.474,33.006,-82.220
128,2024-07-10T17:50:15.502+0900,26.096,33.093,-81.781
128,2024-07-10T17:50:15.703+0900,26.176,32.867,-82.890
128,2024-07-10T17:50:15.973+0900,26.022,33.022,-84.224
128,2024-07-10T17:50:16.173+0900,25.565,33.261,-83.325
128,2024-07-10T17:50:16.375+0900,26.474,33.008,-83.456
128,2024-07-10T17:50:16.574+0900,26.009,33.469,-84.317
128,2024-07-10T17:50:16.778+0900,26.022,33.022,-83.653
128,2024-07-10T17:50:16.980+0900,26.254,32.791,-83.650
128,2024-07-10T17:50:17.181+0900,25.557,33.484,-83.656
128,2024-07-10T17:50:17.382+0900,26.248,33.014,-83.983
128,2024-07-10T17:50:17.590+0900,24.661,25.922,-84.399
128,2024-07-10T17:50:17.793+0900,24.661,25.922,-84.399
128,2024-07-10T17:50:17.986+0900,-415.440,90.428,66.960
128,2024-07-10T17:50:18.183+0900,-1,295.598,222.864,366.833
128,2024-07-10T17:50:18.386+0900,-1,295.377,218.092,367.538
128,2024-07-10T17:50:18.588+0900,-1,295.239,213.548,367.354
128,2024-07-10T17:50:18.861+0900,-1,366.168,211.801,362.288
128,2024-07-10T17:50:19.063+0900,-1,405.312,192.406,366.389
128,2024-07-10T17:50:19.260+0900,-1,404.321,196.913,365.207
128,2024-07-10T17:50:19.465+0900,-1,408.408,242.227,355.171
128,2024-07-10T17:50:19.666+0900,-1,408.943,237.630,355.803
128,2024-07-10T17:50:19.804+0900,-1,408.838,214.479,360.710
128,2024-07-10T17:50:20.001+0900,-1,408.810,228.322,357.701
128,2024-07-10T17:50:20.204+0900,-1,408.810,228.322,357.701
128,2024-07-10T17:50:20.401+0900,-1,408.954,225.647,359.167
128,2024-07-10T17:50:20.605+0900,-1,407.527,208.408,362.613
128,2024-07-10T17:50:20.803+0900,-1,407.396,218.896,360.025
128,2024-07-10T17:50:21.005+0900,-1,407.388,218.674,360.643
128,2024-07-10T17:50:21.208+0900,-1,408.182,222.496,359.691
128,2024-07-10T17:50:21.410+0900,-1,407.906,243.030,355.179
128,2024-07-10T17:50:21.613+0900,-1,408.427,223.174,359.309
128,2024-07-10T17:50:21.813+0900,-1,408.849,244.400,354.791
128,2024-07-10T17:50:22.015+0900,-1,409.485,243.082,354.637
128,2024-07-10T17:50:22.216+0900,-1,408.182,215.128,360.719
128,2024-07-10T17:50:22.418+0900,-1,409.758,244.653,354.924
